accession	tree_name	organism	assembly	isolate	strain	serotype	segment	length	host	Taxonomy_ID	GenBank_Count
NC_003473.1	Banana_bunchy_top_virus_DNA S	Banana bunchy top virus	GCF_000847305.1				DNA S	1075		3158386	3126
NC_003479.1	Banana_bunchy_top_virus_DNA R	Banana bunchy top virus	GCF_000847305.1				DNA R	1111		3158386	3126
NC_003477.1	Banana_bunchy_top_virus_DNA C	Banana bunchy top virus	GCF_000847305.1				DNA C	1018		3158386	3126
NC_003476.1	Banana_bunchy_top_virus_DNA N	Banana bunchy top virus	GCF_000847305.1				DNA N	1089		3158386	3126
NC_055057.1	Leviviridae_sp_AVE004	Leviviridae sp.	GCF_014131355.1	AVE004				3776	Macaca mulatta	2027243	3093
NC_055058.1	Leviviridae_sp_AVE007	Leviviridae sp.	GCF_014131365.1	AVE007				3580	Macaca mulatta	2027243	3093
NC_074553.1	Leviviridae_sp_AVE006	Leviviridae sp.	GCF_018580575.1	AVE006				3609	Macaca mulatta	2027243	3093
NC_005777.1	Oropouche_virus_S	Oropouche virus	GCF_000853785.1				S	754		3052429	2989
NC_005776.1	Oropouche_virus_L	Oropouche virus	GCF_000853785.1				L	6846		3052429	2989
NC_005775.1	Oropouche_virus_M	Oropouche virus	GCF_000853785.1		BeAn19991		M	4385		3052429	2989
NC_002030.1	Potato_spindle_tuber_viroid	Potato spindle tuber viroid	GCF_000856265.1					359		3431858	2967
NC_001445.1	Plum_pox_virus	Plum pox virus	GCF_000862085.1	PPV-NAT				9741		3240600	2878
NC_031753.1	Porcine_circovirus_3	Porcine circovirus 3	GCF_001866935.1		29160			2000	Sus scrofa	3048280	2836
NC_004296.1	Mammarenavirus_lassaense_S	Mammarenavirus lassaense	GCF_000851705.1		Josiah		S	3402		3052310	2811
NC_004297.1	Mammarenavirus_lassaense_L	Mammarenavirus lassaense	GCF_000851705.1		Josiah		L	7279		3052310	2811
NC_040752.1	Picobirnavirus_sp_1	Picobirnavirus sp.	GCF_004117395.1		PBV/roe_deer/SLO/D38-14/2014		1	2576	Capreolus capreolus	1907787	2734
NC_040753.1	Picobirnavirus_sp_2	Picobirnavirus sp.	GCF_004117395.1		PBV/roe_deer/SLO/D38-14/2014		2	1721	Capreolus capreolus	1907787	2734
NC_001355.1	Human_papillomavirus_type_6b	Human papillomavirus type 6b	GCF_000861945.1		type 6b (HPV6b)			7902		333754	2721
NC_030922.1	Mamastrovirus_1	Mamastrovirus 1	GCF_001736695.1	V1347				6673		3430629	2708
NC_002615.1	European_brown_hare_syndrome_virus	European brown hare syndrome virus	GCF_000857785.1	EBHSV-GD	EBHSV-GD			7442		3430318	2704
NC_001543.1	Rabbit_hemorrhagic_disease_virus	Rabbit hemorrhagic disease virus	GCF_000861285.1	FRG	FRG			7437		3430318	2704
NC_012532.1	Zika_virus_MR_766	Zika virus	GCF_000882815.1		MR 766			10794	Simiiformes	3048459	2680
NC_035889.1	Zika_virus_Natal_RGN	Zika virus	GCF_002366285.1		Natal RGN			10808	Homo sapiens	3048459	2680
NC_006306.2	Influenza_C_virus_C_Ann_Arbor_1_50_7	Influenza C virus (C/Ann Arbor/1/50)	GCF_000856665.2	C/Ann Arbor/1/50			7	935		2955935	2643
NC_006312.2	Influenza_C_virus_C_Ann_Arbor_1_50_6	Influenza C virus (C/Ann Arbor/1/50)	GCF_000856665.2		C/Ann Arbor/1/50		6	1180		2955935	2643
NC_006308.2	Influenza_C_virus_C_Ann_Arbor_1_50_2	Influenza C virus (C/Ann Arbor/1/50)	GCF_000856665.2		C/Ann Arbor/1/50		2	2363		2955935	2643
NC_006309.2	Influenza_C_virus_C_Ann_Arbor_1_50_3	Influenza C virus (C/Ann Arbor/1/50)	GCF_000856665.2		C/Ann Arbor/1/50		3	2183		2955935	2643
NC_006311.1	Influenza_C_virus_C_Ann_Arbor_1_50_5	Influenza C virus (C/Ann Arbor/1/50)	GCF_000856665.2		C/Ann Arbor/1/50		5	1807		2955935	2643
NC_006307.2	Influenza_C_virus_C_Ann_Arbor_1_50_1	Influenza C virus (C/Ann Arbor/1/50)	GCF_000856665.2		C/Ann Arbor/1/50		1	2365		2955935	2643
NC_006310.2	Influenza_C_virus_C_Ann_Arbor_1_50_4	Influenza C virus (C/Ann Arbor/1/50)	GCF_000856665.2		C/Ann Arbor/1/50		4	2073		2955935	2643
NC_006497.1	Infectious_salmon_anemia_virus_8	Infectious salmon anemia virus	GCF_000854145.1	CCBB			8	736		55987	2619
NC_006505.1	Infectious_salmon_anemia_virus_1	Infectious salmon anemia virus	GCF_000854145.1	810/9/99			1	2169	Salmo salar	55987	2619
NC_006498.1	Isavirus_salaris_7	Isavirus salaris	GCF_000854145.1	CCBB			7	966		55987	2619
NC_006499.1	Isavirus_salaris_6	Isavirus salaris	GCF_000854145.1	CCBB			6	1323		55987	2619
NC_006503.1	Isavirus_salaris_2	Isavirus salaris	GCF_000854145.1	CCBB			2	2185		55987	2619
NC_006502.1	Isavirus_salaris_3	Isavirus salaris	GCF_000854145.1	CCBB			3	2046		55987	2619
NC_006501.1	Isavirus_salaris_4	Isavirus salaris	GCF_000854145.1	CCBB			4	1787		55987	2619
NC_006500.2	Isavirus_salaris_5	Isavirus salaris	GCF_000854145.1	CCBB			5	1474		55987	2619
NC_006151.1	Suid_alphaherpesvirus_1_Composite_of_6_strains	Suid alphaherpesvirus 1	GCF_000843825.1		Composite of 6 strains			143461	Sus scrofa	3050355	2511
NC_075689.1	Suid_alphaherpesvirus_1_Kaplan	Suid alphaherpesvirus 1	GCF_008791805.1		Kaplan			140377	Sus scrofa	3050355	2511
NC_013225.1	Mammalian_orthoreovirus_3_L1	Mammalian orthoreovirus 3	GCF_000924315.1	MPC/04		3	L1	3804	Paguma larvata	3422298	2502
NC_013234.1	Mammalian_orthoreovirus_3_S4	Mammalian orthoreovirus 3	GCF_000924315.1	MPC/04		3	S4	1098	Paguma larvata	3422298	2502
NC_013231.1	Mammalian_orthoreovirus_3_S1	Mammalian orthoreovirus 3	GCF_000924315.1	MPC/04		3	S1	1368	Paguma larvata	3422298	2502
NC_013230.1	Mammalian_orthoreovirus_3_M3	Mammalian orthoreovirus 3	GCF_000924315.1	MPC/04		3	M3	2241	Paguma larvata	3422298	2502
NC_013232.1	Mammalian_orthoreovirus_3_S2	Mammalian orthoreovirus 3	GCF_000924315.1	MPC/04		3	S2	1331	Paguma larvata	3422298	2502
NC_013228.1	Mammalian_orthoreovirus_3_M2	Mammalian orthoreovirus 3	GCF_000924315.1	MPC/04		3	M2	2127	Paguma larvata	3422298	2502
NC_013233.1	Mammalian_orthoreovirus_3_S3	Mammalian orthoreovirus 3	GCF_000924315.1	MPC/04		3	S3	1198	Paguma larvata	3422298	2502
NC_013227.1	Mammalian_orthoreovirus_3_M1	Mammalian orthoreovirus 3	GCF_000924315.1	MPC/04		3	M1	2251	Paguma larvata	3422298	2502
NC_013226.1	Mammalian_orthoreovirus_3_L2	Mammalian orthoreovirus 3	GCF_000924315.1	MPC/04		3	L2	3870	Paguma larvata	3422298	2502
NC_013229.1	Mammalian_orthoreovirus_3_L3	Mammalian orthoreovirus 3	GCF_000924315.1	MPC/04		3	L3	3888	Paguma larvata	3422298	2502
NC_077838.1	Mammalian_orthoreovirus_3_Dearing_S4	Mammalian orthoreovirus 3 Dearing	GCF_006298385.1	Dearing	T3D	3	S4	1196	Homo sapiens	3422298	2502
NC_077839.1	Mammalian_orthoreovirus_3_Dearing_L1	Mammalian orthoreovirus 3 Dearing	GCF_006298385.1	Dearing	T3D	3	L1	3860	Homo sapiens	3422298	2502
NC_077845.1	Mammalian_orthoreovirus_3_Dearing_M3	Mammalian orthoreovirus 3 Dearing	GCF_006298385.1	Dearing	T3D	3	M3	2241	Homo sapiens	3422298	2502
NC_077844.1	Mammalian_orthoreovirus_3_Dearing_S1	Mammalian orthoreovirus 3 Dearing	GCF_006298385.1	Dearing	T3D	3	S1	1416	Homo sapiens	3422298	2502
NC_077837.1	Mammalian_orthoreovirus_3_Dearing_S3	Mammalian orthoreovirus 3 Dearing	GCF_006298385.1	Dearing	T3D	3	S3	1198	Homo sapiens	3422298	2502
NC_077846.1	Mammalian_orthoreovirus_3_Dearing_S2	Mammalian orthoreovirus 3 Dearing	GCF_006298385.1	Dearing	T3D	3	S2	1331	Homo sapiens	3422298	2502
NC_077840.1	Mammalian_orthoreovirus_3_Dearing_L2	Mammalian orthoreovirus 3 Dearing	GCF_006298385.1	Dearing	T3D	3	L2	3916	Homo sapiens	3422298	2502
NC_077841.1	Mammalian_orthoreovirus_3_Dearing_M1	Mammalian orthoreovirus 3 Dearing	GCF_006298385.1	Dearing	T3D	3	M1	2304	Homo sapiens	3422298	2502
NC_077843.1	Mammalian_orthoreovirus_3_Dearing_M2	Mammalian orthoreovirus 3 Dearing	GCF_006298385.1	Dearing	T3D	3	M2	2207	Homo sapiens	3422298	2502
NC_077842.1	Mammalian_orthoreovirus_3_Dearing_L3	Mammalian orthoreovirus 3 Dearing	GCF_006298385.1	Dearing	T3D	3	L3	3901	Homo sapiens	3422298	2502
NC_002509.2	Turnip_mosaic_virus	Turnip mosaic virus	GCF_000863465.1					9835		3240607	2437
NC_004611.1	Tomato_leaf_curl_New_Delhi_virus_DNA A	Tomato leaf curl New Delhi virus	GCF_000842925.1	Severe	Severe		DNA A	2739	Solanum lycopersicum	3426993	2415
NC_004612.1	Tomato_leaf_curl_New_Delhi_virus_DNA B	Tomato leaf curl New Delhi virus	GCF_000842925.1	Severe	Severe		DNA B	2696	Solanum lycopersicum	3426993	2415
NC_003027.1	Lumpy_skin_disease_virus_NI_2490	Lumpy skin disease virus NI-2490	GCF_000839805.1	Neethling 2490				150773		3427718	2412
NC_034440.1	Bat_coronavirus_PREDICT_PDF_2180	Bat coronavirus	GCF_002118885.1	PREDICT/PDF-2180				29642	Pipistrellus	1508220	2381
NC_048212.1	Bat_coronavirus_CMR704_P12	Bat coronavirus	GCF_012271725.1	CMR704-P12				28975	Eidolon helvum	1508220	2381
NC_006383.2	Peste_des_petits_ruminants_virus	Peste des petits ruminants virus	GCF_000866445.1	Turkey 2000				15948	Ovis aries	3052343	2374
NC_002077.1	Adeno_associated_virus_1	Adeno-associated virus - 1	GCF_000863065.1					4718		1511891	2354
NC_001729.1	Adeno_associated_virus_3	Adeno-associated virus - 3	GCF_000841585.1		3H			4726		1511891	2354
NC_001829.1	Adeno_associated_virus_4	Adeno-associated virus - 4	GCF_000836885.1	ATCC VR-646				4767		1511891	2354
NC_006260.1	Adeno_associated_virus_7	Adeno-associated virus - 7	GCF_000845645.1					4721	Macaca mulatta	1511891	2354
NC_006261.1	Adeno_associated_virus_8	Adeno-associated virus - 8	GCF_000846525.1					4393	Macaca mulatta	1511891	2354
NC_001401.2	adeno_associated_virus_2	adeno-associated virus 2	GCF_000838645.1					4679		1511891	2354
NC_066642.1	Horsepox_virus	Horsepox virus	GCF_006449675.1	MNR-76				212633	Equus caballus	10245	2349
NC_006998.1	Orthopoxvirus_vaccinia	Orthopoxvirus vaccinia	GCF_000860085.1	WR (Western Reserve)	WR (Western Reserve)			194711		10245	2349
NC_001348.1	Human_alphaherpesvirus_3	Human alphaherpesvirus 3	GCF_000858285.1		Dumas			124884	Homo sapiens	3050294	2339
NC_001490.1	rhinovirus_B14	rhinovirus B14	GCF_000861265.1					7212		3428503	2338
NC_038312.1	rhinovirus_B3	rhinovirus B3	GCF_002816855.1			3		7208		3428503	2338
NC_002031.1	Yellow_fever_virus	Yellow fever virus	GCF_000857725.1		17D vaccine strain			10862		3046277	2318
NC_005336.1	Orf_virus	Orf virus	GCF_000844845.1	OV-SA00	OV-SA00			139962		3431389	2314
NC_005218.1	Orthohantavirus_hantanense_NC_005218.1	Orthohantavirus hantanense	GCF_000856085.1					1696		3052480	2276
NC_005222.1	Orthohantavirus_hantanense_L	Orthohantavirus hantanense	GCF_000856085.1		76-118		L	6533		3052480	2276
NC_005219.1	Orthohantavirus_hantanense_NC_005219.1	Orthohantavirus hantanense	GCF_000856085.1					3616		3052480	2276
NC_001362.1	Friend_murine_leukemia_virus	Friend murine leukemia virus	GCF_000859065.1	FB29	FB29			8323		3428959	2252
NC_001501.1	Moloney_murine_leukemia_virus	Moloney murine leukemia virus	GCF_000854185.1					8332		3428959	2252
NC_001702.1	Murine_type_C_retrovirus	Murine type C retrovirus	GCF_000859085.1					8135		3428959	2252
NC_043487.1	Lelystad_virus	Lelystad virus	GCF_003971765.1					15111		3411021	2248
NC_001943.1	Human_astrovirus	Human astrovirus	GCF_000861865.1					6813		1868658	2247
NC_001427.1	Chicken_anemia_virus	Chicken anemia virus	GCF_000864805.1					2319		3047743	2236
NC_005236.1	Orthohantavirus_seoulense_S	Orthohantavirus seoulense	GCF_000855645.1		80-39		S	1769	Rattus norvegicus	3052498	2205
NC_005237.1	Orthohantavirus_seoulense_M	Orthohantavirus seoulense	GCF_000855645.1		80-39		M	3651		3052498	2205
NC_005238.1	Orthohantavirus_seoulense_L	Orthohantavirus seoulense	GCF_000855645.1		80-39		L	6530		3052498	2205
NC_001948.1	Grapevine_rupestris_stem_pitting_associated_virus	Grapevine rupestris stem pitting-associated virus	GCF_000860125.1					8744		3428812	2188
NC_004667.1	Grapevine_leafroll_associated_virus_3	Grapevine leafroll-associated virus 3	GCF_000851885.1	NY1	NY1			17919		3426349	2174
NC_002229.3	Gallid_alphaherpesvirus_2	Gallid alphaherpesvirus 2	GCF_000846265.1		Md5			177874	Gallus gallus	3050287	2165
NC_021544.1	Human_rotavirus_B_6	Human rotavirus B	GCF_000907835.1		Bang373		6	1269		3432195	2121
NC_021551.1	Human_rotavirus_B_3	Human rotavirus B	GCF_000907835.1		Bang373		3	2341		3432195	2121
NC_021548.1	Human_rotavirus_B_8	Human rotavirus B	GCF_000907835.1		Bang373		8	1007		3432195	2121
NC_021549.1	Human_rotavirus_B_11	Human rotavirus B	GCF_000907835.1		Bang373		11	631		3432195	2121
NC_021550.1	Human_rotavirus_B_10	Human rotavirus B	GCF_000907835.1		Bang373		10	751		3432195	2121
NC_021542.1	Human_rotavirus_B_9	Human rotavirus B	GCF_000907835.1		Bang373		9	814		3432195	2121
NC_021541.1	Human_rotavirus_B_1	Human rotavirus B	GCF_000907835.1		Bang373		1	3511		3432195	2121
NC_021547.1	Human_rotavirus_B_7	Human rotavirus B	GCF_000907835.1		Bang373		7	1179		3432195	2121
NC_021545.1	Human_rotavirus_B_2	Human rotavirus B	GCF_000907835.1		Bang373		2	2847		3432195	2121
NC_021546.1	Human_rotavirus_B_5	Human rotavirus B	GCF_000907835.1		Bang373		5	1276		3432195	2121
NC_021543.1	Human_rotavirus_B_4	Human rotavirus B	GCF_000907835.1		Bang373		4	2306		3432195	2121
NC_075387.1	Cressdnaviricota_sp_ctjj384	Cressdnaviricota sp.	GCF_004290775.1	ctjj384				2047		2748378	2104
NC_076852.1	Cressdnaviricota_sp_UJSL012	Cressdnaviricota sp.	GCF_023141935.1	UJSL012				2191	Paguma larvata	2748378	2104
NC_001785.1	Papaya_ringspot_virus	Papaya ringspot virus	GCF_000862045.1					10326		3240577	2083
NC_038332.1	Fowl_aviadenovirus_6	Fowl aviadenovirus 6	GCF_002817995.1		CR119	fowl adenovirus 6		43810	Gallus gallus	3426530	2036
NC_014969.1	Fowl_aviadenovirus_E	Fowl aviadenovirus E	GCF_000890555.1	HG				44055	Gallus gallus	3426530	2036
NC_003517.1	Beet_necrotic_yellow_vein_virus_RNA 4	Beet necrotic yellow vein virus	GCF_000854885.1	S			RNA 4	1465	Tetragonia tetragonoides	3427127	2016
NC_003515.1	Beet_necrotic_yellow_vein_virus_RNA 2	Beet necrotic yellow vein virus	GCF_000854885.1	S			RNA 2	4609	Tetragonia tetragonoides	3427127	2016
NC_003513.1	Beet_necrotic_yellow_vein_virus_RNA 5	Beet necrotic yellow vein virus	GCF_000854885.1	S43			RNA 5	1320		3427127	2016
NC_003514.1	Beet_necrotic_yellow_vein_virus_RNA 1	Beet necrotic yellow vein virus	GCF_000854885.1	S			RNA 1	6746	Tetragonia tetragonoides	3427127	2016
NC_003516.1	Beet_necrotic_yellow_vein_virus_RNA 3	Beet necrotic yellow vein virus	GCF_000854885.1	S			RNA 3	1774	Tetragonia tetragonoides	3427127	2016
NC_001481.2	Feline_calicivirus_Urbana	Feline calicivirus	GCF_000853345.1	Urbana	Urbana			7683		3433199	1999
NC_075569.1	Feline_calicivirus_NC_075569.1	Feline calicivirus	GCF_008767155.1					7690		3433199	1999
NC_013396.1	Epizootic_hemorrhagic_disease_virus_serotype_1_strain_New_Jersey_1	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	GCF_000885335.1	USA1955/01	New Jersey	1	1	3942		3431252	1973
NC_013400.1	Epizootic_hemorrhagic_disease_virus_serotype_1_strain_New_Jersey_5	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	GCF_000885335.1	USA1955/01	New Jersey	1	5	1803		3431252	1973
NC_013405.1	Epizootic_hemorrhagic_disease_virus_serotype_1_strain_New_Jersey_10	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	GCF_000885335.1	USA1955/01	New Jersey	1	10	810		3431252	1973
NC_013399.1	Epizootic_hemorrhagic_disease_virus_serotype_1_strain_New_Jersey_4	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	GCF_000885335.1	USA1955/01	New Jersey	1	4	1983		3431252	1973
NC_013404.1	Epizootic_hemorrhagic_disease_virus_serotype_1_strain_New_Jersey_9	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	GCF_000885335.1	USA1955/01	New Jersey	1	9	1143		3431252	1973
NC_013398.1	Epizootic_hemorrhagic_disease_virus_serotype_1_strain_New_Jersey_3	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	GCF_000885335.1	USA1955/01	New Jersey	1	3	2768		3431252	1973
NC_013403.1	Epizootic_hemorrhagic_disease_virus_serotype_1_strain_New_Jersey_8	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	GCF_000885335.1	USA1955/01	New Jersey	1	8	1186		3431252	1973
NC_013402.1	Epizootic_hemorrhagic_disease_virus_serotype_1_strain_New_Jersey_7	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	GCF_000885335.1	USA1955/01	New Jersey	1	7	1162		3431252	1973
NC_013401.1	Epizootic_hemorrhagic_disease_virus_serotype_1_strain_New_Jersey_6	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	GCF_000885335.1	USA1955/01	New Jersey	1	6	1640		3431252	1973
NC_013397.1	Epizootic_hemorrhagic_disease_virus_serotype_1_strain_New_Jersey_2	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	GCF_000885335.1	USA1955/01	New Jersey	1	2	2968		3431252	1973
NC_001944.1	Beak_and_feather_disease_virus	Beak and feather disease virus	GCF_000843965.1					1993		3047561	1960
NC_000855.1	Viral_hemorrhagic_septicemia_virus_Fil3	Viral hemorrhagic septicemia virus Fil3	GCF_000856505.1		Fil3			11158		1980916	1939
NC_014397.1	Rift_Valley_fever_virus_L	Rift Valley fever virus	GCF_000847345.1		ZH-548		L	6404		3052676	1936
NC_014396.1	Rift_Valley_fever_virus_M	Rift Valley fever virus	GCF_000847345.1		ZH-548		M	3885	Homo sapiens	3052676	1936
NC_014395.1	Rift_Valley_fever_virus_S	Rift Valley fever virus	GCF_000847345.1		ZH-548		S	1690	Homo sapiens	3052676	1936
NC_001662.1	Aleutian_mink_disease_virus	Aleutian mink disease virus	GCF_000838725.1		ADV-G			4801		3051624	1915
NC_029802.1	Porcine_picobirnavirus_S	Porcine picobirnavirus	GCF_001611625.1	221/04-16/ITA/2004	221/04-16/ITA/2004		S	1730	Sus scrofa	442302	1821
NC_029801.1	Porcine_picobirnavirus_L	Porcine picobirnavirus	GCF_001611625.1	221/04-16/ITA/2004	221/04-16/ITA/2004		L	2666	Sus scrofa	442302	1821
NC_036620.1	Influenza_D_virus_D_swine_Oklahoma_1334_2011_6	Influenza D virus (D/swine/Oklahoma/1334/2011)	GCF_002867775.1		D/swine/Oklahoma/1334/2011		6	1219	Sus scrofa	2955744	1802
NC_036617.1	Influenza_D_virus_D_swine_Oklahoma_1334_2011_5	Influenza D virus (D/swine/Oklahoma/1334/2011)	GCF_002867775.1		D/swine/Oklahoma/1334/2011		5	1775	Sus scrofa	2955744	1802
NC_036615.1	Influenza_D_virus_D_swine_Oklahoma_1334_2011_2	Influenza D virus (D/swine/Oklahoma/1334/2011)	GCF_002867775.1		D/swine/Oklahoma/1334/2011		2	2330	Sus scrofa	2955744	1802
NC_036619.1	Influenza_D_virus_D_swine_Oklahoma_1334_2011_3	Influenza D virus (D/swine/Oklahoma/1334/2011)	GCF_002867775.1		D/swine/Oklahoma/1334/2011		3	2195	Sus scrofa	2955744	1802
NC_036616.1	Influenza_D_virus_D_swine_Oklahoma_1334_2011_1	Influenza D virus (D/swine/Oklahoma/1334/2011)	GCF_002867775.1		D/swine/Oklahoma/1334/2011		1	2364	Sus scrofa	2955744	1802
NC_036618.1	Influenza_D_virus_D_swine_Oklahoma_1334_2011_4	Influenza D virus (D/swine/Oklahoma/1334/2011)	GCF_002867775.1		D/swine/Oklahoma/1334/2011		4	2049	Sus scrofa	2955744	1802
NC_036621.1	Influenza_D_virus_D_swine_Oklahoma_1334_2011_7	Influenza D virus (D/swine/Oklahoma/1334/2011)	GCF_002867775.1		D/swine/Oklahoma/1334/2011		7	868	Sus scrofa	2955744	1802
NC_038294.1	Betacoronavirus_England_1	Betacoronavirus England 1	GCF_002816195.1	H123990006	England 1			30111	Homo sapiens	3433633	1782
NC_019843.3	Middle_East_respiratory_syndrome_related_coronavirus	Middle East respiratory syndrome-related coronavirus	GCF_000901155.1	HCoV-EMC/2012	HCoV-EMC			30119	Homo sapiens	3433633	1782
NC_015116.1	Avian_leukemia_virus	Avian leukemia virus	GCF_000891575.1	SCDY1				7489	Gallus gallus	3426267	1781
NC_001408.1	Avian_leukosis_virus_RSA	Avian leukosis virus - RSA	GCF_000849845.1					7286		3426267	1781
NC_001918.1	Aichi_virus_1_A846_88	Aichi virus 1	GCF_000861885.1	A846/88				8251	Homo sapiens	72149	1776
NC_074775.1	Aichi_virus_1_NC_074775.1	Aichi virus 1	GCF_002817065.1					8280		72149	1776
NC_001940.1	Feline_leukemia_virus	Feline leukemia virus	GCF_000850105.1	FRA	FRA			8448		3428951	1737
NC_003398.1	Sugarcane_mosaic_virus	Sugarcane mosaic virus	GCF_000854025.1					9596	Zea mays	3240610	1716
NC_007455.1	Bocaparvovirus_primate1_st2	Bocaparvovirus primate1	GCF_000866725.1	st2				5299		3052040	1703
NC_075120.1	Bocaparvovirus_primate1_Salvador1	Bocaparvovirus primate1	GCF_003033285.1	Salvador1				5543	Homo sapiens	3052040	1703
NC_014358.1	Bocavirus_gorilla_GBoV1_2009	Bocavirus gorilla/GBoV1/2009	GCF_000889135.1	GBoV1				4944	Gorilla gorilla	3052040	1703
NC_012564.1	Human_bocavirus_3	Human bocavirus 3	GCF_000882855.1		W471			5242	Homo sapiens	3052040	1703
NC_001491.2	Equid_alphaherpesvirus_1	Equid alphaherpesvirus 1	GCF_000844025.1		Ab4			150224	Equus caballus	3050276	1700
NC_006623.1	Gallid_alphaherpesvirus_1_Composite_of_6_strains	Gallid alphaherpesvirus 1	GCF_000847005.1		Composite of 6 strains			148687	Gallus gallus	3050286	1629
NC_075683.1	Gallid_alphaherpesvirus_1_SA2	Gallid alphaherpesvirus 1	GCF_008787145.1		SA2			152975	Gallus gallus	3050286	1629
NC_003224.1	Zucchini_yellow_mosaic_virus	Zucchini yellow mosaic virus	GCF_000861645.1	TW-TN3				9591	Luffa aegyptiaca	3240514	1622
NC_001915.1	Infectious_pancreatic_necrosis_virus_A	Infectious pancreatic necrosis virus	GCF_000856525.1		Jasper		A	3097		3048153	1615
NC_001916.1	Infectious_pancreatic_necrosis_virus_B	Infectious pancreatic necrosis virus	GCF_000856525.1		Jasper serotype		B	2784		3048153	1615
NC_023422.1	Caprine_kobuvirus	Caprine kobuvirus	GCF_000915315.1	12Q108				8305	Capra hircus	1298633	1583
NC_027054.1	Porcine_kobuvirus	Porcine kobuvirus	GCF_001008455.1	JS-02a-CHN/2014/China				8121	Sus scrofa	1298633	1583
NC_016769.1	Porcine_kobuvirus_SH_W_CHN_2010_China	Porcine kobuvirus SH-W-CHN/2010/China	GCF_000895935.1	SH-W-CHN/2010/China				8210	Sus scrofa	1298633	1583
NC_011829.1	Porcine_kobuvirus_swine_S_1_HUN_2007_Hungary	Porcine kobuvirus swine/S-1-HUN/2007/Hungary	GCF_000881035.1		swine/S-1-HUN/2007/Hungary			8210	Sus scrofa	1298633	1583
NC_005226.1	Orthohantavirus_tulaense_L	Orthohantavirus tulaense	GCF_000855225.1		Moravia/5302v/95		L	6541		3052503	1573
NC_005227.2	Orthohantavirus_tulaense_S	Orthohantavirus tulaense	GCF_000855225.1		Tula/Moravia/5302Ma/94		S	1831		3052503	1573
NC_005228.1	Orthohantavirus_tulaense_M	Orthohantavirus tulaense	GCF_000855225.1		Moravia/5302v/95		M	3694		3052503	1573
NC_003784.1	Black_queen_cell_virus	Black queen cell virus	GCF_000851425.1		South African			8550	Apis mellifera	3047684	1548
NC_006262.1	Watermelon_mosaic_virus	Watermelon mosaic virus	GCF_000856625.1		WMV-Fr			10035		3240504	1538
NC_001351.1	Hop_stunt_viroid	Hop stunt viroid	GCF_000847785.1					302		3429801	1519
NC_004067.1	Pepino_mosaic_virus	Pepino mosaic virus	GCF_000856965.1	Sp-13				6450	Solanum lycopersicum	3433856	1508
NC_006551.1	Usutu_virus	Usutu virus	GCF_000854945.1		Vienna 2001			11066		3048443	1507
NC_000899.1	Fowl_aviadenovirus_D_Fowl_adenovirus_9	Fowl aviadenovirus D	GCF_000844285.1	A-2A	A-2A	Fowl adenovirus 9		45063		3426525	1500
AC_000013.1	Fowl_aviadenovirus_D_AC_000013.1	Fowl aviadenovirus D	GCF_000886795.1					45063		3426525	1500
NC_015782.2	Grapevine_Pinot_gris_virus	Grapevine Pinot gris virus	GCF_000894735.1					7259	Vitis vinifera	3432991	1488
NC_075974.1	Picornavirales_sp_RtRn_PicoV_YN2014	Picornavirales sp.	GCF_013086155.1	RtRn-PicoV/YN2014				8422	Rodentia	1955153	1466
NC_075975.1	Picornavirales_sp_RtCb_PicoV_HeB2014	Picornavirales sp.	GCF_013086165.1	RtCb-PicoV/HeB2014				8315	Rodentia	1955153	1466
NC_075978.1	Picornavirales_sp_RtNn_PicoV_HuB2015_1	Picornavirales sp.	GCF_013086195.1	RtNn-PicoV/HuB2015-1				8013	Rodentia	1955153	1466
NC_001593.1	Human_papillomavirus_type_53	Human papillomavirus type 53	GCF_000865685.1					7856		337050	1449
NC_039228.1	Koala_retrovirus	Koala retrovirus	GCF_002888855.1					8431		3428957	1449
NC_038889.1	human_papillomavirus_30	human papillomavirus 30	GCF_002987345.1					7852		337050	1449
NC_003899.1	Eastern_equine_encephalitis_virus	Eastern equine encephalitis virus	GCF_000862705.1	ssp. North American variant	ssp. North American variant			11675		3426299	1430
NC_075280.1	Picornaviridae_sp	Picornaviridae sp.	GCF_003389975.1	yc-1				7443	Grus japonensis	1530251	1372
NC_001846.1	Murine_hepatitis_virus_MHV_A59	Murine hepatitis virus	GCF_000862345.1		MHV-A59			31357		3433759	1355
NC_048217.1	Murine_hepatitis_virus_A59	Murine hepatitis virus	GCF_003971785.1		A59			31335		3433759	1355
AC_000192.1	Murine_hepatitis_virus_strain_JHM	Murine hepatitis virus strain JHM	set:AC_000192					31526		3433759	1355
NC_012936.1	Rat_coronavirus_Parker	Rat coronavirus Parker	GCF_000886515.1		Parker			31250	Rattus	3433759	1355
